StructureType,attributeName,Caption,Type,Default,Min,Max,StructureFileOnly,Description
structure,type,Type:Weir|UniversalWeir|Culvert|Bridge|Pump|Orifice|Gate|GeneralStructure|Dambreak|Compound,weir|universalweir|culvert|bridge|pump|orifice|gate|generalstructure|dambreak|compound,,,,TRUE,Type of structure
structure,id,Id,String,,,,FALSE,Unique structure id.
structure,name,Name,String,,,,,Given name in the user interface.
structure,branchId,Branch id,String,,,,,(optional) Branch on which the structure is lcoated.
structure,chainage,Chainage,Double,,,,,(optional) Chainage on the branch (m).
structure,numCoordinates,Number of coordinates,integer,,,,,(optional) Number of values in xCoordinates and yCoordinates. This value should be greater or equal 2.
structure,xCoordinates,X coordinates,DoubleArray,,,,FALSE,(optional) x-coordinates of the location of the structure. (number of values = numCoordinates)
structure,yCoordinates,Y coordinates,DoubleArray,,,,FALSE,(optional) y-coordinates of the location of the structure. (number of values = numCoordinates)
structure,polylinefile,Polyline filepath,FileName,,,,TRUE,*.pli
weir,type,Type,String,weir,,,,"Structure type, must read weir."
weir,crestLevel,Crest level,Steerable,,,,FALSE,Crest level of weir (m AD).
weir,crestWidth,Crest width,Double,,,,FALSE,(optional) Width of weir (m).
weir,corrCoeff,Correction coefficient,Double,1,,,FALSE,Correction coefficient (-).
weir,useVelocityHeight,Velocity height flag,0|1,1,,,,Flag indicates whether the velocity height is to be calculated or not.
pump,type,Type,String,pump,,,,"Structure type, must read pump."
pump,orientation,Pump orientation,String,positive,,,,Pump orientation. Possible values: positive, negative.
pump,controlSide,Control side,String,,,,,On which side(s) built-in pump triggering is active. Only required/used when numStages > 0. Possible values: suctionSide: Suction side control. deliverySide: Delivery side control. both: Suction and Delivery side control.
pump,numStages,Number of trigger stages,integer,0,,,,Number of trigger stages in pump. Set to 0 to disable built-in triggering.
pump,capacity,Pump capacity,Steerable,,,,FALSE,Pump capacity (m³/s). (number of values = max(1, numStages)).
pump,startLevelSuctionSide,Start level of suction side,DoubleArray,,,,,Start level suction side (m AD). (number of values = numStages)
pump,stopLevelSuctionSide,Stop level of suction side,DoubleArray,,,,,Stop level suction side (m AD). (number of values = numStages)
pump,startLevelDeliverySide,Start level of delivery side,DoubleArray,,,,,Start level delivery side (m AD). (number of values = numStages)
pump,stopLevelDeliverySide,Stop level of delivery side,DoubleArray,,,,,Stop level delivery side (m AD). (number of values = numStages)
pump,numReductionLevels,Number of reduction levels,integer,0,,,,Number of levels in reduction table.
pump,head,Head,DoubleArray,,,,,Head, the difference in waterlevel (delivery side - suction side) (m). (number of values = numReductionLevels).
pump,reductionFactor,Reduction factor,DoubleArray,,,,,Reduction factor (-). (number of values = numReductionLevels).
gate,type,Type,String,gate,,,,"Structure type, must read gate."
gate,crestLevel,Crest level,Steerable,,,,,Crest level (m AD).
gate,crestWidth,Crest width,Double,,,,,Crest width (m).
gate,gateLowerEdgeLevel,Lower edge level,Steerable,,,,FALSE,Position of gate door's lower edge (m AD).
gate,gateHeight,Door height,Double,,,,FALSE,Height of gate door. Needed for possible overflow across door (m).
gate,gateOpeningWidth,Opening width,Steerable,0,,,FALSE,Opening width between gate doors, should be smaller than (or equal to) crestWidth. Use 0.0 for a vertical door. (m).
gate,gateOpeningHorizontalDirection,Horizontal opening direction:Symmetric|From Left|From Right,symmetric|fromLeft|fromRight,symmetric,,,FALSE,Horizontal direction of the opening doors
generalstructure,type,Type,String,generalStructure,,,,"Structure type, must read generalStructure."
generalstructure,upstream1Width,Upstream width 1,Double,10,,,,Upstream width 1
generalstructure,upstream1Level,Upstream level 1,Double,0,,,,Upstream level 1
generalstructure,upstream2Width,Upstream width 2,Double,10,,,,Upstream width 2
generalstructure,upstream2Level,Upstream level 2,Double,0,,,,Upstream level 2
generalstructure,crestWidth,Crest width,Double,10,,,,(optional) Crest width (m).
generalstructure,crestLevel,Crest level,Double,0,,,,Crest level (m AD).
generalstructure,crestLength,Crest length,Double,0,,,,The crest length across the general structure.
generalstructure,downstream1Width,Downstream width 1,Double,10,,,,Downstream width 1
generalstructure,downstream1Level,Downstream level 1,Double,0,,,,Downstream level 1
generalstructure,downstream2Width,Downstream width 2,Double,10,,,,Downstream width 2
generalstructure,downstream2Level,Downstream level 2,Double,0,,,,Downstream level 2
generalstructure,gateLowerEdgeLevel,Gate lower edge level,Double,11,,,,Position of gate door's lower edge (m AD).
generalstructure,posFreeGateFlowCoeff,Positive free gate flow corr. coeff.,Double,1,,,,Positive free gate flow corr. coeff. (-).
