Bestandsnaam,ElementName,Kolomnaam,Code,,Definitie,Type,Eenheid,Verplicht,Standaardwaarde,Opmerking
Knooppunt.csv,Node.csv,HydxIdentificatieKnooppuntOfVerbinding,UNI_IDE,UNIQUE_ID,"Unieke identificatie van het knooppunt of de verbinding, een verwijzing naar de bestandsregel-identificatie. De waarde van deze kolom mag slechts één keer voorkomen in zowel Knooppunt.csv als Verbinding.csv. Koppeling tussen Knooppunt.csv of Verbinding.csv met Kunstwerk.csv, BOP.csv, Oppervlak.csv, Debiet.csv.",string,string,ja,,[Len=10]
Knooppunt.csv,Node.csv,HydxIdentificatieRioolstelsel,RST_IDE,SYSTEM_TYPE_ID,"Identificatie (naam, nummer, code) van het rioolstelsel",string,string,nee,,[Len=30]
Knooppunt.csv,Node.csv,HydxIdentificatieRioolput,PUT_IDE,MANHOLE_ID,"Identificatie (naam, nummer, code) van de put of het bouwwerk",string,string,ja,,[Len=10]
Knooppunt.csv,Node.csv,HydxX_coordinaat,KNP_XCO,X_COORDINATE,"X-coördinaat knooppunt. Conform coördinatenstelsel EPSG:7415 (x/y conform EPSG:28992 (=RD), z conform EPSG:5709 (=NAP).",double,m,ja,,[Len=12.2]
Knooppunt.csv,Node.csv,HydxY_coordinaat,KNP_YCO,Y_COORDINATE,"Y-coördinaat knooppunt. Conform coördinatenstelsel EPSG:7415 (x/y conform EPSG:28992 (=RD), z conform EPSG:5709 (=NAP).",double,m,ja,,[Len=12.2]
Knooppunt.csv,Node.csv,HydxIdentificatieCompartiment,CMP_IDE,COMPARTMENT_ID,"Identificatie (naam, nummer, code) van het compartiment",string,string,nee,,[Len=10] [Verplicht als Knooppunt/KNP_TYP=CMP]
Knooppunt.csv,Node.csv,HydxNiveauMaaiveld,MVD_NIV,SURFACE_LEVEL,Niveau maaiveld t.o.v. NAP,double,m,ja,,[Len=8.2]
Knooppunt.csv,Node.csv,HydxMaaiveldschematisering,MVD_SCH,SURFACE_SCHEMATISATION,Type maaiveldschematisering,string,MaaiveldschematiseringColl,ja,,[Len=3]
Knooppunt.csv,Node.csv,HydxOppervlakWaterOpStraat,WOS_OPP,FLOODABLE_AREA,Oppervlak water op straat,double,m2,nee,,[Len=8.2] [Verplicht als Knooppunt/MVD_SCH=RES]
Knooppunt.csv,Node.csv,HydxMateriaalPut,KNP_MAT,NODE_MATERIAL,Materiaal put,string,MateriaalProfielColl,ja,,[Len=3]
Knooppunt.csv,Node.csv,HydxVormPut,KNP_VRM,NODE_SHAPE,Vorm put,string,VormPutColl,ja,,[Len=3]
Knooppunt.csv,Node.csv,HydxNiveauBinnenonderkantPut,KNP_BOK,BOTTOM_LEVEL,Niveau binnenonderkant put t.o.v. NAP,double,m,ja,,[Len=8.2]
Knooppunt.csv,Node.csv,HydxBreedte_diameterPutbodem,KNP_BRE,NODE_WIDTH,Breedte/diameter putbodem,double,mm,ja,,[Len=8.2]
Knooppunt.csv,Node.csv,HydxLengtePutbodem,KNP_LEN,NODE_LENGTH,Lengte putbodem,double,mm,nee,,[Len=8.2] [Verplicht als Knooppunt/KNP_VRM=RHK]
Knooppunt.csv,Node.csv,HydxTypeKnooppunt,KNP_TYP,NODE_TYPE,Type knooppunt,string,TypeKnooppuntColl,ja,,[Len=3]
Knooppunt.csv,Node.csv,HydxInitieleWaterstand,INI_NIV,INITIAL_WATERLEVEL,Initiële waterstand t.o.v. NAP,double,m,nee,,[Len=8.2]
Knooppunt.csv,Node.csv,HydxStatusObject,STA_OBJ,STATUS,Status van het object,string,StatusObjectColl,nee,,[Len=3]
Knooppunt.csv,Node.csv,HydxAannameMaaiveldhoogte,AAN_MVD,A_SURFACE_LEVEL,Aanname maaiveldhoogte,string,AannameHydXColl,nee,,[Len=3]
Knooppunt.csv,Node.csv,HydxIdentificatieDefinitieIT_object,ITO_IDE,INFILTRATION_ID,Definitie infiltratiekarakteristieken. Koppeling tussen ItObject.csv en Verbinding.csv of Knooppunt.csv,string,string,nee,,"[Len=10] [Verplicht als Verbinding/VRB_TYP=ITR, Knooppunt/KNP_TYP=ITP]"
Knooppunt.csv,Node.csv,HydxToelichtingRegel,ALG_TOE,REMARKS,Toelichting bij deze regel,string,string,nee,,[Len=100]
Verbinding.csv,Connection.csv,HydxIdentificatieKnooppuntOfVerbinding,UNI_IDE,UNIQUE_ID,"Unieke identificatie van het knooppunt of de verbinding, een verwijzing naar de bestandsregel-identificatie. De waarde van deze kolom mag slechts één keer voorkomen in zowel Knooppunt.csv als Verbinding.csv. Koppeling tussen Knooppunt.csv of Verbinding.csv met Kunstwerk.csv, BOP.csv, Oppervlak.csv, Debiet.csv.",string,string,ja,,[Len=10]
Verbinding.csv,Connection.csv,HydxIdentificatieKnooppunt1,KN1_IDE,NODE_UNIQUE_ID_START,"Identificatie knooppunt 1. Verwijzing naar UNI_IDE in Knooppunt.csv. Als het type verbinding een overstortdrempel of doorlaat is (Verbinding/VRB_TYP=DRP, DRL) dan moet het type knooppunt een compartiment zijn (Knooppunt/KNP_TYP=CMP).",string,IdentificatieRegel,ja,,[Len=10]
Verbinding.csv,Connection.csv,HydxIdentificatieKnooppunt2,KN2_IDE,NODE_UNIQUE_ID_END,"Identificatie knooppunt 2. Verwijzing naar UNI_IDE in Knooppunt.csv. Als het type verbinding een overstortdrempel of doorlaat is (Verbinding/VRB_TYP=DRP, DRL) dan moet het type knooppunt een compartiment zijn (Knooppunt/KNP_TYP=CMP).",string,IdentificatieRegel,ja,,[Len=10]
Verbinding.csv,Connection.csv,HydxTypeVerbinding,VRB_TYP,PIPE_TYPE,Type verbinding,string,TypeVerbindingColl,ja,,[Len=3]
Verbinding.csv,Connection.csv,HydxIdentificatieLeiding,LEI_IDE,PIPE_INDICATOR,,string,string,nee,,[Len=10]
Verbinding.csv,Connection.csv,HydxBobKnooppunt1,BOB_KN1,LEVEL_START,Binnenonderkant buis knooppunt 1 t.o.v. NAP,double,m,nee,,"[Len=8.2] [Verplicht als Verbinding/VRB_TYP=GSL,OPL]"
Verbinding.csv,Connection.csv,HydxBobKnooppunt2,BOB_KN2,LEVEL_END,Binnenonderkant buis knooppunt 2 t.o.v. NAP,double,m,nee,,"[Len=8.2] [Verplicht als Verbinding/VRB_TYP=GSL,OPL]"
Verbinding.csv,Connection.csv,HydxStromingsrichting,STR_RCH,FLOW_DIRECTION,Mogelijke stromingsrichting door verbinding,string,StromingsrichtingColl,nee,,"[Len=3] [Verplicht als Verbinding/VRB_TYP=GSL,OPL,OVS,DRL]"
Verbinding.csv,Connection.csv,HydxLengteVerbinding,VRB_LEN,LENGTH,Lengte van de leiding of de lengte die via het kunstwerk overbrugd wordt (bijvoorbeeld de lengte van de persleiding tussen pomp en lozingspunt),double,m,ja,,[Len=8.2]
Verbinding.csv,Connection.csv,HydxTypeInzameling,INZ_TYP,WATER_TYPE,Type afvalwater dat wordt ingezameld,string,TypeInzamelingColl,nee,,"[Len=3] [Verplicht als Knooppunt/KNP_TYP=INS,ITP,CMP Verbinding/VRB_TYP=GSL,OPL,ITR"
Verbinding.csv,Connection.csv,HydxInstroomverliescoefficientKnooppunt1,INV_KN1,INLETLOSS_START,Instroomverliescoëfficient knooppunt 1,double,decimal,nee,,"[Len=4.2] [Verplicht als Verbinding/VRB_TYP=GSL,OPL]"
Verbinding.csv,Connection.csv,HydxUitstroomverliescoefficientKnooppunt1,UTV_KN1,OUTLETLOSS_START,Uitstroomverliescoëfficient knooppunt 1,double,decimal,nee,,"[Len=4.2] [Verplicht als Verbinding/VRB_TYP=GSL,OPL]"
Verbinding.csv,Connection.csv,HydxInstroomverliescoefficientKnooppunt2,INV_KN2,INLETLOSS_END,Instroomverliescoëfficient knooppunt 2,double,decimal,nee,,"[Len=4.2] [Verplicht als Verbinding/VRB_TYP=GSL,OPL]"
Verbinding.csv,Connection.csv,HydxUitstroomverliescoefficientKnooppunt2,UTV_KN2,OUTLETLOSS_END,Uitstroomverliescoëfficient knooppunt 2,double,decimal,nee,,"[Len=4.2] [Verplicht als Verbinding/VRB_TYP=GSL,OPL]"
