StructureType,attributeName,Caption,Type,Default,Min,Max,StructureFileOnly,Description
structure,type,Type:Weir|Pump|Gate|GeneralStructure,weir|pump|gate|generalstructure,,,,TRUE,Type of structure
structure,id,Name,String,,,,FALSE,Name of the structure
structure,x,X,Double,,,,FALSE,X coordinate for a 1D structure
structure,y,Y,Double,,,,FALSE,Y coordinate for a 1D structure
structure,polylinefile,Polyline filepath,FileName,,,,TRUE,*.pli; Polyline geometry definition for 2D structure
weir,CrestLevel,Crest level,Steerable,,,,FALSE,Weir crest height (in [m])
weir,CrestWidth,Crest width,Double,NaN,,,FALSE,Weir crest width (in [m])
weir,lat_contr_coeff,Lateral contraction coefficient,Double,1,,,FALSE,Lateral contraction coefficient
pump,capacity,Capacity,Steerable,,,,FALSE,Pump capacity (in [m3/s])
gate,CrestLevel,Crest level,Steerable,,,,FALSE,Gate crest level (in [m])
gate,GateLowerEdgeLevel,Gate lower edge level,Steerable,,,,FALSE,Gate lower edge level (in [m])
gate,GateOpeningWidth,Gate opening width,Steerable,,,,FALSE,Gate opening width (in [m])
gate,GateHeight,Gate door height,Double,1,,,FALSE,Gate door height (in [m])
gate,GateOpeningHorizontalDirection,Horizontal opening direction:Symmetric|From Left|From Right,symmetric|from_left|from_right,symmetric,,,FALSE,Horizontal direction of the opening gates
gate,CrestWidth,Crest width,Double,NaN,,,FALSE,Gate crest width (in [m])
generalstructure,Upstream1Width,Upstream width 1,Double,NaN,,,FALSE,Upstream width 1 (m)
generalstructure,Upstream2Width,Upstream width 2,Double,NaN,,,FALSE,Upstream width 2 (m)
generalstructure,CrestWidth,Width center,Double,NaN,,,FALSE,Crest width (m)
generalstructure,Downstream1Width,Downstream width 1,Double,NaN,,,FALSE,Downstream width 1 (m)
generalstructure,Downstream2Width,Downstream width 2,Double,NaN,,,FALSE,Downstream width 2 (m)
generalstructure,Upstream1Level,Upstream level 1,Double,,,,FALSE,Upstream level 1 (m AD)
generalstructure,Upstream2Level,Upstream level 2,Double,,,,False,Upstream level 2 (m AD)
generalstructure,CrestLevel,Crest level,Steerable,,,,FALSE,Crest level (m AD)
generalstructure,Downstream1Level,Downstream level 1,Double,,,,FALSE,Downstream level 1 (m AD)
generalstructure,Downstream2Level,Downstream level 2,Double,,,,FALSE,Downstream level 2 (m AD)
generalstructure,GateLowerEdgeLevel,Gate lower edge level,Steerable,,,,FALSE,Gate lower edge level (m AD)
generalstructure,pos_freegateflowcoeff,Postive free gate flow,Double,,,,FALSE,Positive free gate flow (-)
generalstructure,pos_drowngateflowcoeff,Postive drown gate flow,Double,,,,FALSE,Positive drowned gate flow (-)
generalstructure,pos_freeweirflowcoeff,Positive free weir flow,Double,,,,FALSE,Positive free weir flow (-)
generalstructure,pos_drownweirflowcoeff,Positive drown weir flow,Double,,,,FALSE,Positive drowned weir flow (-)
generalstructure,pos_contrcoeffreegate,Positvie flow contraction,Double,,,,FALSE,Positive flow contraction coefficient (-)
generalstructure,neg_freegateflowcoeff,Negative free gate flow,Double,,,,FALSE,Negative free gate flow (-)
generalstructure,neg_drowngateflowcoeff,Negative drown gate flow,Double,,,,FALSE,Negative drowned gate flow (-)
generalstructure,neg_freeweirflowcoeff,Negative free weir flow,Double,,,,FALSE,Negative free weir flow (-)
generalstructure,neg_drownweirflowcoeff,Negative drown weir flow,Double,,,,FALSE,Negative drowned weir flow (-)
generalstructure,neg_contrcoeffreegate,Negative flow contraction,Double,,,,FALSE,Negative flow contraction coefficient (-)
generalstructure,extraresistance,Extra resistance,Double,,,,FALSE,Extra resistance (-)
generalstructure,GateHeight,Gate door height,Double,,,,FALSE,Vertical gate door height (m)
generalstructure,GateOpeningHorizontalDirection,Horizontal opening direction:Symmetric|From Left|From Right,symmetric|from_left|from_right,symmetric,,,FALSE,Horizontal direction of the opening gates
generalstructure,GateOpeningWidth,Horizontal gate opening width,Steerable,,,,FALSE,Horizontal opening width between the gates (m)









